id,restaurant_id,name,description,price_cents,calories,tortilla_type,protein_type,is_vegan,is_bulk,is_daily_special,available_from,available_to,mention_count
7a1d48f1-4389-4323-acae-4e62cc47e53f,e285bc8e-f4ac-4ae9-aa67-82fa720f00ff,Bean and Cheese Taco,Traditional bean and cheese taco. Mentioned in 2 reviews.,,,flour,none,False,False,False,,,2
1f29b134-c8eb-417d-add5-2eb400cfb1c6,761879c9-28ab-4211-b49f-7d41b7b16175,Bean and Cheese Taco,Traditional bean and cheese taco. Mentioned in 1 reviews.,,,flour,none,False,False,False,,,1
d588a28e-3949-437f-8d19-e6b08b13095c,692cdcfa-23fe-4da5-8ab7-521b6223fe57,Bean and Cheese Taco,Traditional bean and cheese taco. Mentioned in 1 reviews.,,,flour,none,False,False,False,,,1
da0e0bd8-cee4-45dc-8690-642ce19c993c,f01aab38-71d3-48f9-8970-23394cdf6284,Bean and Cheese Taco,Traditional bean and cheese taco. Mentioned in 1 reviews.,,,flour,none,False,False,False,,,1
3e8542e4-23b9-47c1-8f47-93629bc491a6,d2d07b4e-a0e3-48ca-b3b4-5a291fd69aa4,Bean and Cheese Taco,Traditional bean and cheese taco. Mentioned in 1 reviews.,,,flour,none,False,False,False,,,1
13634e4c-399b-4c48-a72b-3a689f783749,c32fee81-e268-4881-b9c6-405890d9bf58,Bean and Cheese Taco,Traditional bean and cheese taco. Mentioned in 1 reviews.,,,flour,none,False,False,False,,,1
ad8a0741-bcab-4a77-a924-c5880bff09a1,1db92989-a07a-40f7-b8d0-62f4631c27e5,Bean and Cheese Taco,Traditional bean and cheese taco. Mentioned in 2 reviews.,,,flour,none,False,False,False,,,2
f5baf929-c785-4d34-bff0-3d20c7316925,8dea0cb5-5939-4a5d-878a-ea6f1bf563e5,Bean and Cheese Taco,Traditional bean and cheese taco. Mentioned in 1 reviews.,,,flour,none,False,False,False,,,1
1d8530f8-3453-4765-bb80-e1ddd2895f28,99dfea84-5471-4170-a361-44d2e8828010,Bean and Cheese Taco,Traditional bean and cheese taco. Mentioned in 1 reviews.,,,flour,none,False,False,False,,,1
2b89cd1b-ae04-4d66-bbd9-4056c9635df4,cfad80b5-f3dd-44e3-ba69-5c4058e42fcc,Bean and Cheese Taco,Traditional bean and cheese taco. Mentioned in 1 reviews.,,,flour,none,False,False,False,,,1
631dbac0-c370-4412-b900-a295054df245,cd34e865-90b0-40c5-9e71-f7c7471244e7,Bean and Cheese Taco,Traditional bean and cheese taco. Mentioned in 1 reviews.,,,flour,none,False,False,False,,,1
917aac40-5b8f-4288-826e-ba5a90e065c4,e475b26c-3d08-49b2-ab01-945367560abc,Bean and Cheese Taco,Traditional bean and cheese taco. Mentioned in 1 reviews.,,,flour,none,False,False,False,,,1
c97d446e-2384-4491-870b-96e558004d7f,34e2af86-9ab9-4c79-aa59-4c61664a7e63,Bean and Cheese Taco,Traditional bean and cheese taco. Mentioned in 5 reviews.,,,flour,none,False,False,False,,,5
678452ec-f69b-44d6-a69a-189c4e7dd0b3,04bb59f8-2a8b-4291-94ef-9b2ad6d35334,Bean and Cheese Taco,Traditional bean and cheese taco. Mentioned in 1 reviews.,,,flour,none,False,False,False,,,1
d3a99228-66a2-4977-9220-a862f406a75f,72fcb325-290e-4d64-9d79-e72c7eba38f5,Bean and Cheese Taco,Traditional bean and cheese taco. Mentioned in 2 reviews.,,,flour,none,False,False,False,,,2
bfda076b-0d72-4c64-ab97-a87dd394b143,ad948002-4903-4dbe-a5fd-2acd9d05b20d,Bean and Cheese Taco,Traditional bean and cheese taco. Mentioned in 1 reviews.,,,flour,none,False,False,False,,,1
8eb52f12-d76f-4792-8615-4df250334728,c3f83c5b-9d90-4136-9242-907c269d14fe,Bean and Cheese Taco,Traditional bean and cheese taco. Mentioned in 1 reviews.,,,flour,none,False,False,False,,,1
8a2ff30e-c08e-46c2-8dbb-4215a3facbd8,701c4650-a22a-4ee3-ac39-ec3e5ac3e195,Bean and Cheese Taco,Traditional bean and cheese taco. Mentioned in 1 reviews.,,,flour,none,False,False,False,,,1
bb1e8a23-cd72-45c0-b334-552cab53224b,84dba577-d66a-4fbf-b5b0-bf0fbd37272f,Bean and Cheese Taco,Traditional bean and cheese taco. Mentioned in 1 reviews.,,,flour,none,False,False,False,,,1
e535b13a-cec8-462f-a24e-1b34979eecb4,32c7dd55-69b5-428b-a5aa-203793b6fe07,Bean and Cheese Taco,Traditional bean and cheese taco. Mentioned in 1 reviews.,,,flour,none,False,False,False,,,1
089fde8a-9864-4b99-b133-e4a5dfdce926,69c680fa-f3b1-4ae5-b345-29e2db23d849,Bean and Cheese Taco,Traditional bean and cheese taco. Mentioned in 1 reviews.,,,flour,none,False,False,False,,,1
c3290dd5-0704-4b01-815c-d4a85d3508e2,e22e3f80-c7df-4fb8-85e1-7e53de6574a7,Bean and Cheese Taco,Traditional bean and cheese taco. Mentioned in 1 reviews.,,,flour,none,False,False,False,,,1
3606eb8b-f5e2-4dea-9878-7c97ccf48ee5,96ba4f6c-a238-43d3-9876-57b6c6b5e9e7,Bean and Cheese Taco,Traditional bean and cheese taco. Mentioned in 1 reviews.,,,flour,none,False,False,False,,,1
ae533219-7ae6-4e96-a9d6-eac9d5ea66a9,0ccfc48e-f9df-4751-b92e-b070ddc6574d,Bean and Cheese Taco,Traditional bean and cheese taco. Mentioned in 2 reviews.,,,flour,none,False,False,False,,,2
4246ea06-d9ed-4498-9010-44382d17b557,a71a0ba1-450c-4956-93dc-88d162326c96,Bean and Cheese Taco,Traditional bean and cheese taco. Mentioned in 1 reviews.,,,flour,none,False,False,False,,,1
f6e1f709-2427-4d22-8fe8-674f02cf4737,f966ba18-a7cf-476d-8a0c-9564045595fa,Bean and Cheese Taco,Traditional bean and cheese taco. Mentioned in 1 reviews.,,,flour,none,False,False,False,,,1
e31cf3f2-22a9-496c-9fc0-cf71ac875675,3b978c24-e85a-4f0f-b826-793c36440e57,Bean and Cheese Taco,Traditional bean and cheese taco. Mentioned in 2 reviews.,,,flour,none,False,False,False,,,2
1eac97b9-0d4c-4b6c-bdbb-7af02fba0efb,0d820a10-9c78-4c2e-867e-daa20cd9edc4,Bean and Cheese Taco,Traditional bean and cheese taco. Mentioned in 1 reviews.,,,flour,none,False,False,False,,,1
8fc09fc9-6354-42eb-8781-3ac4993ca1f8,b2ea7ab4-6da4-4669-841b-bd2f00ae2702,Bean and Cheese Taco,Traditional bean and cheese taco. Mentioned in 1 reviews.,,,flour,none,False,False,False,,,1
0eb95674-cf16-45c7-aa97-cba8ac668cd6,af7bb0a7-446d-44cc-a41d-c3b331281922,Bean and Cheese Taco,Traditional bean and cheese taco. Mentioned in 1 reviews.,,,flour,none,False,False,False,,,1
3ae6583f-1d47-4336-80e0-92fe8b89ffbd,70d99511-ac94-46fe-8bd9-aa62cf2d3b00,Bean and Cheese Taco,Traditional bean and cheese taco. Mentioned in 1 reviews.,,,flour,none,False,False,False,,,1
d9d5482a-6ee4-4b00-8326-f4d8fd651767,426af3da-7e9b-4085-9377-97de8843820f,Bean and Cheese Taco,Traditional bean and cheese taco. Mentioned in 1 reviews.,,,flour,none,False,False,False,,,1
5aedc371-37f5-413a-9d88-43b80d098991,97e04ecb-5642-403c-8caa-5326424e1fb3,Bean and Cheese Taco,Traditional bean and cheese taco. Mentioned in 1 reviews.,,,flour,none,False,False,False,,,1
